hour,count
2023-09-06 15:00:00,15120
2023-09-06 16:00:00,15105
2023-09-06 17:00:00,15081
2023-09-06 18:00:00,15093
2023-09-06 19:00:00,15009
2023-09-06 20:00:00,15198
2023-09-06 21:00:00,15057
2023-09-06 22:00:00,15093
2023-09-06 23:00:00,14994
2023-09-07 00:00:00,15195
2023-09-07 01:00:00,15072
2023-09-07 02:00:00,15003
2023-09-07 03:00:00,15081
2023-09-07 04:00:00,15153
2023-09-07 05:00:00,15165
2023-09-07 06:00:00,15033
2023-09-07 07:00:00,15018
2023-09-07 08:00:00,15060
2023-09-07 09:00:00,15036
2023-09-07 10:00:00,14955
2023-09-07 11:00:00,14869
2023-09-07 12:00:00,15152
2023-09-07 13:00:00,15048
2023-09-07 14:00:00,14952
2023-09-07 15:00:00,15132
2023-09-07 16:00:00,14991
2023-09-07 17:00:00,15096
2023-09-07 18:00:00,15012
2023-09-07 19:00:00,15042
2023-09-07 20:00:00,15096
2023-09-07 21:00:00,15054
2023-09-07 22:00:00,14970
2023-09-07 23:00:00,14976
2023-09-08 00:00:00,14934
2023-09-08 01:00:00,15135
2023-09-08 02:00:00,15051
2023-09-08 03:00:00,15042
2023-09-08 04:00:00,14970
2023-09-08 05:00:00,15105
2023-09-08 06:00:00,15075
2023-09-08 07:00:00,15081
2023-09-08 08:00:00,15084
2023-09-08 09:00:00,14841
2023-09-08 10:00:00,15183
2023-09-08 11:00:00,14991
2023-09-08 12:00:00,15189
2023-09-08 13:00:00,14997
2023-09-08 14:00:00,15092
2023-09-08 15:00:00,15031
2023-09-08 16:00:00,15003
2023-09-08 17:00:00,15087
2023-09-08 18:00:00,15021
2023-09-08 19:00:00,15105
2023-09-08 20:00:00,15096
2023-09-08 21:00:00,14910
2023-09-08 22:00:00,15207
2023-09-08 23:00:00,14934
2023-09-09 00:00:00,15162
2023-09-09 01:00:00,15024
2023-09-09 02:00:00,15006
2023-09-09 03:00:00,14988
2023-09-09 04:00:00,14763
2023-09-09 05:00:00,15093
2023-09-09 06:00:00,15009
2023-09-09 07:00:00,15096
2023-09-09 08:00:00,14937
2023-09-09 09:00:00,15159
2023-09-09 10:00:00,14829
2023-09-09 11:00:00,15120
2023-09-09 12:00:00,14952
2023-09-09 13:00:00,14937
2023-09-09 14:00:00,14982
2023-09-09 15:00:00,15162
2023-09-09 16:00:00,15117
2023-09-09 17:00:00,15096
2023-09-09 18:00:00,15030
2023-09-09 19:00:00,15141
2023-09-09 20:00:00,14997
2023-09-09 21:00:00,15045
2023-09-09 22:00:00,14994
2023-09-09 23:00:00,15102
2023-09-10 00:00:00,14817
2023-09-10 01:00:00,14964
2023-09-10 02:00:00,15132
2023-09-10 03:00:00,15054
2023-09-10 04:00:00,14916
2023-09-10 05:00:00,15060
2023-09-10 06:00:00,14859
2023-09-10 07:00:00,14949
2023-09-10 08:00:00,15027
2023-09-10 09:00:00,15054
2023-09-10 10:00:00,14979
2023-09-10 11:00:00,15138
2023-09-10 12:00:00,15051
2023-09-10 13:00:00,15129
2023-09-10 14:00:00,14916
2023-09-10 15:00:00,15090
2023-09-10 16:00:00,15051
2023-09-10 17:00:00,14955
2023-09-10 18:00:00,15108
2023-09-10 19:00:00,14787
2023-09-10 20:00:00,14808
2023-09-10 21:00:00,15129
2023-09-10 22:00:00,15111
2023-09-10 23:00:00,14925
2023-09-11 00:00:00,15024
2023-09-11 01:00:00,14967
2023-09-11 02:00:00,15192
2023-09-11 03:00:00,15078
2023-09-11 04:00:00,15138
2023-09-11 05:00:00,15057
2023-09-11 06:00:00,15060
2023-09-11 07:00:00,14868
2023-09-11 08:00:00,15051
2023-09-11 09:00:00,14847
2023-09-11 10:00:00,14853
2023-09-11 11:00:00,14961
2023-09-11 12:00:00,15009
2023-09-11 13:00:00,15012
2023-09-11 14:00:00,14859
2023-09-11 15:00:00,15072
2023-09-11 16:00:00,15081
2023-09-11 17:00:00,14946
2023-09-11 18:00:00,15030
2023-09-11 19:00:00,15177
2023-09-11 20:00:00,15006
2023-09-11 21:00:00,14997
2023-09-11 22:00:00,15132
2023-09-11 23:00:00,15045
2023-09-12 00:00:00,14931
2023-09-12 01:00:00,15032
2023-09-12 02:00:00,15031
2023-09-12 03:00:00,15033
2023-09-12 04:00:00,14988
2023-09-12 05:00:00,15057
2023-09-12 06:00:00,15015
2023-09-12 07:00:00,15006
2023-09-12 08:00:00,15036
2023-09-12 09:00:00,14946
2023-09-12 10:00:00,14925
2023-09-12 11:00:00,15033
2023-09-12 12:00:00,15114
2023-09-12 13:00:00,14958
2023-09-12 14:00:00,15132
2023-09-12 15:00:00,15747
2023-09-12 16:00:00,15804
2023-09-12 17:00:00,15612
2023-09-12 18:00:00,15909
2023-09-12 19:00:00,15852
2023-09-12 20:00:00,15795
2023-09-12 21:00:00,15810
2023-09-12 22:00:00,15831
2023-09-12 23:00:00,15771
2023-09-13 00:00:00,15888
2023-09-13 01:00:00,15900
2023-09-13 02:00:00,15783
2023-09-13 03:00:00,15770
2023-09-13 04:00:00,15760
2023-09-13 05:00:00,15891
2023-09-13 06:00:00,15765
2023-09-13 07:00:00,15687
2023-09-13 08:00:00,15645
2023-09-13 09:00:00,15732
2023-09-13 10:00:00,15711
2023-09-13 11:00:00,15729
2023-09-13 12:00:00,15666
2023-09-13 13:00:00,15771
2023-09-13 14:00:00,15660
2023-09-13 15:00:00,14304
